job_id,source,company,title,location,description_head,label_is_tech,label_is_senior,label_location_class,label_sponsorship_block,label_min_years,label_note
919fc578-3092-426d-bd1d-d8e5d6175abb,ashby,knox-systems,Director of Channels,New York City,"## About Knox Knox runs the largest Federal and DoW managed cloud, building and operating secure cloud and AI environments that support the U.S. government’s most critical missions — from national security and public safety to essential public services. Our customers rely on Knox to deploy production systems that meet the highest standards for security, reliability, and compliance. Work at Knox",n,y,us,,,
168dfd63-0537-4ed3-a460-8d9cdcb0699a,greenhouse,goodfire,Security Operations Lead,"San Francisco, CA","## About Goodfire Goodfire is an AI interpretability research lab. We build interpretability agents and infrastructure to understand, monitor, and align AI models. We believe that AI is the most consequential technology of our time. Yet AI models are trained by trial and error today, with limited understanding of what drives their behavior. Our goal is to advance the research and technology neede",y,y,us,,,Security operations may be corporate rather than product security.
54758d7d-9939-4c04-ad0a-0a1fe9e9e85b,greenhouse,scaleai,"Engineering Manager, Global Public Sector","London, UK",Scale’s rapidly growing International Public Sector team is focused on using AI to address critical challenges facing the public sector around the world. Our core work consists of: - Creating custom AI applications that will impact millions of citizens - Generating high-quality training data for national LLMs - Upskilling and advisory services to spread the impact of AI Our Scale Generative AI Pl,n,y,non_us,,,
55c78282-6d64-4100-b1c0-e763004c570a,ashby,better-mortgage,Home Lending Associate,"Gurugram, Haryana","## Why Better. Why Now. Better is rebuilding home finance as an AI-native platform—turning a process that once took weeks into something that can happen in seconds. With over $110B in loans funded and $1.2B+ raised, we operate at real scale while rethinking how homeownership works from the ground up. The category hasn’t caught up yet. That’s the opportunity. ## A Better Opportunity We’re look",n,n,non_us,,,
32868ee6-c6a0-4a27-b063-a3e8a9b7ac1f,lever,cgsfederal,Records Management Specialist II,"Boston, MA","## Records Management Specialist II Employment Type: Full-Time, Mid-Level Department: Office Support CGS is seeking an experienced Records Management Specialist to provide administrative support for a large Federal agency initiative. CGS brings motivated, highly skilled, and creative people together to solve the government’s most dynamic problems with cutting-edge technology. To carry out our m",n,y,us,,,
1c7b72bc-315c-484c-be62-0fcd16d320be,greenhouse,databricks,"Sr. Forward Deployed Engineer (FDE) - Communications, Media, Entertainment & Games","Denver, Colorado","CSQ127R318 As a Forward Deployed Engineer (FDE) you will work with customers to build and productionize solutions to their data & AI challenges using the Databricks platform. You will own the architecture, lead design decisions, and implement end-to-end systems spanning data engineering, AI, and application development. We work cross-functionally to shape long-term strategic priorities and initia",y,y,us,,,
04c158b7-da6d-414b-9f03-d4a89ab88454,greenhouse,legendcareerseu,Ops Junior Expert,"Ghent, East Flanders, Belgium",## Ops Junior Expert Our Operations Team in Ghent is looking for a passionate CAR-T Operations Junior Expert. Do you want a meaningful job? Here you contribute to the fight against cancer every day! ## What Can You Expect? The role of a CAR-T Operations Junior Expert is exciting and challenging. Here's what you'll do: - Perform CAR-T process activities: You will accurately perform various step,n,n,non_us,,,
b1bf4e13-47c7-41b6-acda-4c067559226a,lever,lessen,Client Relationship Manager,"Chicago, IL","Lessen is the tech-enabled, end-to-end property service provider that is transforming how commercial and residential real estate services are delivered and managed at scale. Lessen’s technology platform provides data-driven insights that unlock key growth opportunities for the entire real estate ecosystem—including investors, owners, managers, and service providers. The company leverages a network",n,y,us,,,
272ad0e8-35c9-4e50-ad02-78f8589a0e95,ashby,aiuc,Founding Talent Partner,San Francisco,"## About AIUC AIUC builds standards and insurance for frontier AI. Our mission is to Underwrite superintelligence . We exist because risk, not capability, is becoming the binding constraint on AI being useful. History offers lessons for how to build confidence in new technology; electricity burned down houses until insurers funded Underwriters Laboratories (UL) to certify products against their s",n,n,us,,,
41d71172-bf97-409d-9f3f-1e029ba351d0,greenhouse,speechify,"Senior Software Engineer, Core Experiences - Boulder, CO, USA","Boulder, CO, USA","## Mission Speechify is the easiest way to listen to the world’s information. Articles on the web, documents in the cloud, books on your phone. We absorb it all and let you listen to it at your desk, on the go, at your own speed, and with tools that make learning easier, deeper, and faster. What streaming services have done for audio entertainment, we’re doing for audio information. And whatever",n,y,us,,,
